	标点
压电效应	效果 电
放款	借出 金融 货币
环宇	大地
环宇	地方 世界
蒜蓉炒丝瓜	食品 烹调
烈妇	人 成年 贞洁 女
实现自我	成功
伤感情	得罪 情感
哈萨克	族群 中国
蚺蛇	走兽
月利	比率 钱财 赚 频度值 时间 月 单
嘀嘀哒哒	发声
心因性失忆症	疾病
玩不转	无能
经手人	人 处理
棠棣	花草
棠棣	树
眉飞色舞	喜悦
林网	陆地 成长 树 众
未净化水	水
土著居民	人 原
领带卡	配件 配件 衣物 来源值 欧洲
平房	房屋
小歌剧	表演物
潜伏的危险	劫难 隐秘
单间儿	房间
酒鬼	人 嗜好 超 饮品 嗜好
飘绿	减少 经济 价格
拉火绳	部件 武器 军 射击
无心	不愿
山芋	部件 根 蔬菜 吃
山芋	蔬菜
火中取栗	冒险 得到 利 人 他
白酒	饮品 嗜好
怕羞	羞愧
发家致富	成为 富
助理员	人 职位 雇用
猴	走兽
猴	淘
断档	消失 人工物 卖 商业
海兽	走兽
正经八百	慎
挨斗	遭受 谴责
酸楚	悲哀
餐室	房间 吃
泡沫乳胶	材料
魍魉	拟人 罪恶
赫尔辛基	地方 国都 芬兰 专
拜金主义	思想 敬佩 钱财
职	事务 职位 赚 活着
打进	进入
少数民族	族群
跳江	进入 水域 自杀
打战	颤动
重围	物形 形成 包围 军
潲	废物 喂 牲畜
鬣狗	走兽
钫	金属 化学
钫	用具 放置 饮品 嗜好
尊翁	人 家庭 直系 男 长辈 特定 你
左迁	降级 职位
航天飞船	飞行器 天体
旧故	人 友 亲密
实地调查	事情 调查 现场
记大过	处罚 记录 结果 误
凡夫肉眼	人 普通
乾县	地方 县 中国 专
莲蓬头	部件 用具 加湿
有效期	时间 有效
反倾销	阻止 卖 贱
消夏	度过 时间 夏
独裁	暴
独裁	制度 管理 政 暴 地方 国家
气魄	勇
老北京豆酱	食品 烹调
双星	天体
分力	力量 物理 实体
试用期	时间 经受 考试
杏汁炖官燕	食品 烹调
现场	现场
现场	位置 发生 事情
休书	信件 告诉 离婚 人 家庭 女 配偶
遗篇	语文 留存 人 死
发报人	人 职位 传送 电 信件
美国宇航局	部件 机构 美国 政 归属中央 官 管理 研究 飞行器
披沙拣金	选择 实体 精
聚积	采集
纵目	看 远
舰船	武器 军 船
塞尔维亚人	人 塞尔维亚
哀嚎	哭泣 悲哀
无可无不可	不重要
深奥	深奥
祸殃	劫难
蔓	部件 身 植物
爷们	人 家庭 男 配偶
爷们	人 成年 男
老妪	人 老年 女
军运	事务 运送 军
字面	内容值 经受 划定 词语
股动脉	部件 络 部件 脏 动物 循环
蔹	植物
延续	继续
延续	继续 时间
延续	使继续
膻味	气味 物质 臭
美发	化妆 部件 毛 人
拘于	遵循 呆
峻峭	陡
乏倦	疲乏
慌忙	仓促
平车	车 非自动
非法经营	管理 经济 非法
共现	发生 同步
坏主意	规划 欺骗
主考官	人 教育 监察 考试
解酒	消除 昏迷 喝 饮品 嗜好
群芳	人 美 女 众
友善	友善
绕圈子	围绕
绕圈子	盘旋
绕圈子	说 不直率
绕圈子	婉
天堂	地方 美 幸福 住下 拟人
分类主题索引	文书 记录 内容 语文 主
克	单位 重量
克	战胜
克	制止
陈列柜	用具 展示
ＫＴＶ包间	设施 娱乐 唱
文化圈	团体 教育 艺 文
戍边	防守 军
割爱	放弃 不舍 很
暮年	老年
暮年	时间 人 老年
标绘	画 标志
普遍认为	功能词
萨利纳斯	地方 市 美国 专
不可行	不会 实现
特许权税	费用 征收
搓洗	洗涤
席次	次序 位置 坐蹲
自相惊扰	吓唬 相互
前呼后拥	傲
登岸	到达 陆地 靠近 水域
西南亚	大地 亚洲 专 南 西
市府	机构 管理 地方 市
圣保罗	地方 市 巴西 专
圣保罗	地方 市 美国 专
皂片	用具 洗涤
精致	精
湄州	地方 市 中国 专
不大离儿	优质
情夫	人 男 活着 共同 非法 结婚 否
小型机	电脑 小
台南鸡卷	食品 烹调
奶酪	食品
亲家	人 家庭 旁系
复赛	事情 比赛 体育
醵	采集 金融 资金
直陈	说明 直率
晚班车	车 驶 道路 材料 车 金属 线 时间 夜
大雪纷飞	坏天 雨雪 强
农产品	人工物 农 庄稼
缺欠	过 实体 事件 无功劳
缺欠	缺少
搔首	抓挠 部件 头 动物
梵宫	设施 宗教
街	场所 商业 买 卖
街	道路
想	功能词
想	思念
想	认为
想	思考
实体	实体
树雀鵐	禽
绑架者	人 有罪 搬动 暴
尽兴	特性值 享受 极
停顿	终结 临时
儿男	人 少儿 男
小考	事情 考试
脱光	剥去
国务院总理	人 职位 政 官 管理 部件 机构 中国 政 归属中央 官 管理 管理 事务 地方 国家 政
繁星点点	好天 夜
水果	水果
烧至炭化	焚烧
母狗	牲畜 家养 女
门闩	部件 器具 拴连 定住
波罗的海	水域 专 面
部优	精
抽风机	用具 排出 气
死局	事情 不会 获胜 娱乐
安身	住下
宫颈癌	疾病 肿胀 不会 医 控制
灰心丧气	灰心
豆浆	饮品
幽闭	扣住
幽闭	扣住 警
碱量测定	事情 测量 多少 化学物
快人快语	直率
喜沙植物	植物
女皇	人 皇 元首 女
轻量级拳手	人 拳击 锻炼
离退休	停做 担任
止痛	制止 疼痛 医
乙烯基	化学物
祖本	书刊
整补	调整 军 军队 供 军 军队
假分数	符号 数量 数学
蹴	踢踩
巨星	天体
巨星	人 著名
摇摇摆摆	走 不稳
横眉竖眼	看 生气 很
舍尔邦月	时间 律法 伊斯兰教 时间 月 特定
金光闪闪	黄
反恐战争	事情 争斗 事情 恐怖袭击 有罪
同声传译员	人 翻译 同步
坤	女
坤	与女性相关
恶势力	团体 罪恶 歹
重考	考试 再
保健食品	食物 保养
紫水晶	材料 珍宝
茅坑	设施 排泄
厅局级	等级 人 官 机构
大管	乐器
买官	付 货币 职位 人 官
市委书记	人 部件 归属地方 地方 市 团体 中国 政 专 官
感佩	感激 敬佩
无从下手	不知 位置 开始
了若指掌	知道
扯掉	破开
桂皮	部件 材料 调整 味道 树
桂皮	部件 皮 树
桂皮	树
时不我待	词语 表示 珍 时间 劝说
铜匠	人 职位 金属 工
秘而不宣	不说
肉	食品 部件 肉 动物
肉	消极
肉	部件 肉 动物
肉	部件 肉 水果 蔬菜
拟	形成
拟	计划
鬼域	地方 拟人
木本植物	植物 树
征发	征收
烟雾	云雾
抟	揉弄
抟	盘旋
心理呓语	词语
诃	谴责
藻井	部件 建筑物
白痴	智慧 人 愚
白痴	人 愚
佛典	书刊 佛教 宗教
弹药携行量	多少 武器 军 装载
占主导地位	能 影响
民工潮	事情 人 职位 雇用
淑女	人 女 有道德
下嘴	部件他移 部件 口 部件 脏 动物 发声 吃
带	功能词
带	照料
带	携带
带	包含
带	做 偶发
带	配件 衣物 穿戴 装饰
带	引导
带	材料 线 拴连
带	部件 部件 腿 车
带	地方
带	用具 记录
阋	争吵
思春	期望 爱恋
殄歼	消灭
急性护理	照料 医
磉	部件 根 人工物
分野	界限 实体
子宫外孕	疾病 怀孕
跳单人舞	娱乐
春联	读物 悬挂 时间 节 中国 祝贺
手臂	部件 臂 人
员工	人 职位 雇用
家庭纠纷	事情 争吵 家庭
中断	停做
中断	事情 停做 说
科西嘉语	语言 专
专机	飞行器 特别
跑外	卖
经书	书刊 中国 专
下周四	时间 日 周 将来 特定
忍痛	忍耐 加害
藕色	灰
数不胜数	多
不受支配	不会 控制
地毯式搜查	寻
使绊儿	损害 隐秘
使绊儿	颠倒
吓一跳	害怕
赀	评估
兵多将广	健壮 力量 人
好多	多 很
基带相位	部件 部件 根 实体 过程
瘦高挑	身高 瘦
缱	材料 线 拉 船
缱	勒紧
寒士	人 文 穷
小折刀	用具 切削 破开
博学多才	有学问
最东端	东
低垂	下去
土腥	味道值 相像 土石
两厢	部件 边 侧 复 物质
两厢	房间
困扰	困扰
知遇之恩	情感 仁
清风	风 凉 弱
好似	相像
计数	计数
美观	美
惩创	处罚
饶有	多
流星	天体
流星	武器 军 过去
平截头体	图像
采收	采集
宇宙时间	时间
复读	学习 再
鬼混	谋生 浮
光彩炫目	灿烂
防盗眼	部件 部件 口 建筑物 用具 看 隐秘
阿爹	人 家庭 直系 男 长辈
通解	知道 极
饶爽	直率
分割	分离
标志	标志
标志	指代
地缘政治	事务 地方 国家 政 政
倒背手	放置 位置 后 部件 手 人
粮食供应站	设施 供 材料 食物 庄稼
肉体关系	亲疏 人 交配
社会保险	事情 保证 保险
鲁昂	地方 市 法国 专
尽管	功能词
地峡	陆地 凹
异想天开	思考
原职	事务 职位 过去 特定 赚 活着
鬼神莫测	事情 预料 否
谈得来	适合 交往
电源线	材料 线 传送 电
秀外慧中	美 灵
窥管之见	念头 浅薄
女子双打	事情 锻炼 体育
草字	文字
核讹诈	事情 骗 武器 军
相位	境况 事件 万物
玉	美
玉	材料 珍宝
心眼儿	能力 动物 变感知 感知状态
心眼儿	心地 人
心眼儿	气量 人
心眼儿	情感 怀疑
心眼儿	精神
镑	单位 商业 金融 货币 英国
镑	货币 英国 商业 金融
劝诫	劝说
冒	伪
冒	喷出
冒	莽
冒	冒险
水酒	饮品 嗜好
易燃	易 点燃
戴尔	电脑 样式值 能 携带 特定牌子
美展	事情 展示 图像 艺
铸币	货币 金属
铸币	制造 货币 金属
上宾	人 荣 看望
无休止	间断 否
还礼	赠 人工物
还礼	致敬
所有制	制度 有 无生物
揽客	吸引 人 商业 买
愚妄	傲
罂粟花	花草
集邮界	团体 采集 票证 邮寄
直截	直率
偷袭	攻打 军 隐秘
千奇百怪	怪
熟练程度	能力 生物
修饰语	部件 语言
怀疑论者	人 怀疑
卤菜	食品 烹调
添堵	使动 烦恼 较
够格	合格
提前量	多少 射击 时间
多肽	化学物
拨子	名量 人
二话不说	积极
元配	人 家庭 女 配偶
个人卫生	洁净 人
构拟	形成
佛门弟子	人 佛教 宗教
开拓性	积极性 人
反问	问
反问	词语 疑问
门侧柱	部件 部件 口 建筑物
流溢	溢出
毛料	材料 衣物 用具
天竹	花草 药物
妙笔生花	非常好 编辑
小数点后两位	标志 数量关系 数学
酸味	味道 物质 酸
咭	声
患麻疹	病态
骨胶	材料 黏 拴连 定住
新颜	外观 物质 新
国家经济贸易委员会	部件 中国 经济 专 机构 政
易受攻击	易 攻打
裕固族	族群 中国
牵头	引导
冲力	力量 物质
倒伏	跌倒 躺卧
卷缩	部件他移
水户	地方 市 日本 专
恒河猴	走兽
焦炒鱼片	食品 烹调
专卖	卖
扫尾	完毕
果然	功能词
胜利	有效 成功
胜利	结果 获胜
胜利	获胜
投票箱	用具 投下 文书 选拔 选拔
欢实	康健
学潮	事情 暴动 中国 教育 政 专
抱恙	病态
裸露行为	事情 露出 部件 身 人
散场	完毕 表演物
瘴气	气 有毒
正音法	样式 文字
上下铺	位置 上 睡 位置 下 睡
林业局	部件 机构 中国 政 归属中央 官 管理 管理 事务 栽植 树 农
艳装	衣物 美
第一性征	属性 性别
牵念	着急
言不由衷	不诚实
佩服	敬佩
泰卢固语	语言 专
家长制	举止 人 暴
90年代	时间 特定
统驭	控制
皮革制品	人工物 材料 衣物 用具 部件 皮 兽
额角	部件 部件 头 动物
大田	陆地 农 栽植 庄稼
大田	地方 市 韩国 专
狐步舞曲	音乐
魔窟	地方 存在 人 有罪
第三十	序数
包车	车 商业 自动 借出
包车	借入 车 商业 自动 借出
平流层	部件 空域
午安	词语 表示 问候 时间 午
蹿	喷出
蹿	跳
任命权	势力 人 组织 任命
椒盐肉排	食品 烹调
力学	知识 物理
打扫卫生	使净 洁
防疫	阻止 医 疾病
广	泛
广	姓
牙疼	疼痛
党群	团体 政 人 普通 众
骨蛋白	部件 部件 胚 动物
抑郁	烦恼
沦为	成为
美景良辰	时间 吉祥
毁誉不一	不同 评估
肋叉子	部件 部件 身 动物
上佳	最佳
苦思冥想	思考 卖力
结节性多动脉炎	疾病 部件 部件 头 动物
宵小	人 有罪 偷
苍老	强
苍老	白 老年 部件 毛 人
失言	出错 说
蜡黄	黄
南天竹	花草 药物
侮慢	慢待
放浪形骸	莽
宛如	功能词
留出来	留存
诊费	费用 医治
倒排词典	书刊 词语
妖孽	人 卑劣 暴 有罪
业绩欠佳	性能 事情 衰败 经济
占理	合理
人烟	场面 人 地方
聋哑人	人 残疾 发声 听
危难	劫难
中奖者	人 得到 用具 奖励
跋前踬后	遭受 境况 群体 人 悲惨
泼墨	画
剪票铗	用具 查 票证
认认真真	慎
汉族	族群 中国
酒石酸氧锑钾	化学物
心梗	疾病 部件 心 部件 脏 动物 循环
团歌	音乐 团体 中国 政 专 人 青年 唱
飘荡	漂
飘荡	摆动
保不住	无能 使不变
保不住	功能词
心脏死亡	死
阴离子	部件 物理 物质
立足	基于
立足	处于
仿效	模仿
筲箕	用具 放置 使净
年华	时间
辅修	学习
七夕节	时间 节 日 祝贺 人 交往 爱恋
微粒照片	图像 小 拍摄
分设	建立 分别的
间断	停做
间断	间断
吴语	语言 地方 中国
小爬虫	人 尝试 升级 卑劣
得救	经受 救助
玲珑	精
淡水	水 能 喝
矢积	结果 数学 算术
自选市场	场所 商业 买 照料 人 己 食物 卖 食物
豆豉豆腐	食品 烹调
心焦	着急
市井	场所 商业 买 卖
尖阁列岛	陆地 水域 日本 专
领进	引导 进入
起事	暴动
娇	妖媚
娇	浮
娇	单弱
娇	嫩
撩	指使
撩	提升
撩	洒下
撩	取乐
疠	疾病
阕	名量 音乐 语文
阕	停做
阕	终结
偏远	远
贫病交加	遭受 病态 穷
泄	表示情感
泄	排出
泄	揭露
一目了然	清晰
抒情曲	音乐
枸杞	树
美国战略司令部	部件 美国 军 专 军队 命令
诬控	控告 警 伪造
关联性	相关性 属性值 属性 实体 事件
宾夕法尼亚大学	场所 美国 教育 高等 专 学习 教
勤奋	勤
凌虐	损害
铅粉	金属
核废料	废物
贾人	人 职位 商业
岗位责任制	制度 责任
鉴证	证明
斲	切削
鼢鼠	走兽
燃煤	焚烧 材料 土石 焚烧
平凡	普通
4	基数
神魂颠倒	喜欢 不讲理
法学学位	身分 律法 教育 人
贿金	人工物 赠 有罪 勾引
出产	制造
葵	庄稼
令女	人 家庭 女 小辈 直系 特定 你
恭迎	欢迎 谦
城乡结合部	部件 边 地方 市
窃听器	用具 听 隐秘
墓园	设施 埋入 部件 身 人 死
狂泻	减少 经济 快 价格
降旗	下移 用具 指代 地方 国家 政
棚车	车
变幻莫测	易变
发起	开始
前敌	地方 军 前
过敏反应	疾病
儿童健康	健康 人 少儿
鼹鼠	走兽
鼹鼠	人 争斗 人 军 政 侦察 信息 组织 敌 军 政 侦察
鼓	形变 凸
鼓	乐器
鼓	打
鼓	发送
鼓	促使
择床	睡 没能力 处于 地方 新
松树园	陆地 成长 树 众
一把手	人 官
空满	空满 实体
升官发财	成为 富 升级 职位
全景	景象 无生物 整
沙龙	场所 商业 消闲
沙龙	人 以色列 政 元首 专
肉嘟嘟	胖
男声	声 音乐 唱
踞守	防守 军
月均	平均 时间 月
烹调指南	读物 教 烹调
堂兄	人 家庭 同辈 旁系 男
勇毅	勇 坚决
汤池	场所 商业 洗涤 部件 身 动物
长住	住下 永久性
自律	制止 人 己
帕斯卡	单位 力量 人工物 按压
人非草木	有情
号外	读物 特别
应许	同意
夫妻关系	亲疏 家庭 人 家庭 女 配偶 人 家庭 男 配偶
午餐会	事情 商讨 吃 时间 午
电吉他	乐器
树上	位置 树
跳槽	代替 事务
确切	精确
确切	真
和衷共济	合作
授	赐
授	教
闺门	房间 住下 人 女
龙凤	走兽 拟人
分而治之	控制 分离
到会者	人 从事 商讨
慢吞吞	慢
报偿	补偿
铡刀	用具 折断
卯眼	部件 人工物 拴连 木
小襟	部件 身 衣物
小组赛	事情 比赛 足球
迫于	功能词
旧时	时间 过去
检讨	商讨
检讨	评估 人 己
罗森海姆	地方 市 德国 专
古里古怪	僻
肇东	地方 市 中国 专
体无完肤	遭受 反驳 极
体无完肤	受伤 全面
漏网	逃跑
箕	图像 部件 部件 手 人
箕	用具 滤清
箕	用具 放置 使净
精工	姓名 用具 特定牌子 告诉 时间
精工	精
精工	用具 特定牌子 告诉 时间
吸收	认知
吸收	吸收
吸收	纳入
密度	密度 物理 物质
车帮	团体 车 众
车帮	部件 身 车
花被	部件 胚 植物
花被	用具 遮盖 睡
仰光	地方 国都 缅甸 专
工商联	团体 中国 商业 工 专
昏头昏脑	心不在焉
畸形	不正常
畸形	疾病 残疾
畸形	畸
投井下石	损害
内藏	包含
始新世	时间 过去
马镫	用具 上去 放置 牲畜
一个挨一个	有序
枢密院	机构 政 劝说
从各个方面	位置 周围
在...条件下	功能词
人口	多少 人
人口	人 众
炸鸡块	食品 烹调
联邦德国	地方 国家 欧洲 政 专
刑侦	事情 侦察 事情 有罪 警 刑事
暂时	临时
妙算	念头 预料
机械师	人 职位 工
多吃多占	偷
傍晚	时间 夜
涉水	走 水域
标写	画 标志
渡船	船
性饥渴	意愿 期望 交配 急
按时	按时
山形	地方 市 日本 专
保险带	部件 交通工具 拴连 保护
癞子	疾病 部件 皮 动物
癞子	人 罹患
有案可稽	真
春大麦	庄稼 撒 栽植 农
侄女	人 家庭 旁系 女 小辈
仔鸡	禽 少儿 家养
盗窃店铺	偷 场所 商业 买 卖
录	簿册
录	雇用
录	记录
沙石	土石
鹦鹉	禽
接听	答 交流 用具 交流 距离值 长
鹿死谁手	未定
跳动	颤动
凝聚力	力量 实体
凝聚力	力量 群体
西印度群岛	地方 亚洲 专
高球	现象 乒乓球 足球 排球
超级公路	道路 变空间位置 快
五	基数
格林威治	地方 英国 专
戎马	事务 军
柴胡	花草 药物
言道	说
凄恻	悲哀
交汇处	位置 集聚
美味双珍	食品 烹调
开云见日	散开 云雾
捷克和斯洛伐克人	人 捷克和斯洛伐克
花甲老人	人 老年
开车人	人 驾驭 车 自动
婴儿奶粉	饮品 喝 人 少儿
螳螂	虫
泄密	露出 事情 隐秘
杓	天体
答辩协议	事情 商讨 事情 控告 警
摊头	场所 商业 买 卖
三弦	乐器
薄片形	薄
在空难中	位置 劫难 死 受伤 飞行器
遑遑	仓促
高校	场所 教育 高等 学习 教
回教徒	人 伊斯兰教 宗教
源自	缘于
包米	庄稼
占有权	权利 有 钱财
斜率	坡度 无生物
鞋	名量 无生物
鞋	衣物 穿戴 部件 脚 人
迁离	外移
一介武夫	人 军队 争斗 军
习艺	学习 能力 人
搞丢	失去
煤核儿	废物
扑棱	颤动
生老病死	事情 活着
螺母	部件 器具 拴连 定住
后门	方法 不诚实
后门	部件 口 建筑物
食欲	意愿 期望 吃
扬州炒饭	食品 烹调
自找苦吃	招惹 遭受 劫难
参天	高
奔丧	前往 致哀
龠	乐器
龠	用具 打开 关闭
解决	处理
解决	消除
妄念	意愿 期望 莽
小疵	过 实体 事件 不重要
迷惘	不知
一回事	事情 似
新嫁娘	人 女 结婚 新近
治贫	消灭 生活状况 生物 群体 穷
手工艺品	人工物 制造 部件 手 人
核算	计算
钢精	金属 化学
美好的昔日	时间 能 促使 喜欢 过去
前人	人 祖先
介绍性	特性值 说明
胎儿	部件 胚 动物
天明	发生 时间 晨
性关系	亲疏 人 交配
龙井金元鲍	食品 烹调
鬼神	拟人 丑 吓唬
感到	心怀
感到	认为
烛光	单位 强度 物质 照射
烛光	光
隋朝	时间 朝代 中国 皇 专 过去
爱国卫生运动	事务 洁净
南阳县	地方 县 中国 专
内海	水域
独揽	控制 独自
干才	人 能
11月	时间 月 特定
扁桃	水果
扁桃	树 生殖 水果
中肯	当
月杪	时间 末 月
肾盂	部件 络 动物
去功能化	消除 功用 实体
冷飕飕	冷
晞	时间 晨
馋	贪心 喝 吃
馋	需求
清洁工人	人 职位 使净
刀把	部件 手 用具 切削 破开
胆固醇	物质 代谢 生物学 医
企业	场所 经济 工
宦门	家庭 人 官
复核	查
复核	查 警
研	研磨
研	研究
始末	过程
共振	现象 颤动
血债要用血来还	报复
十角形	形状值 图像 数学
水蒸气	气
金匠	人 职位 金属 工
清产核资	查 钱财
夜	时间 夜
爵士乐	音乐
警纪	规矩 警
舒松	惬
被子植物	植物
碳化硅	化学物
气象观测船	船 调查 天象
失道者寡助	享受 拥护 狭 事务 非正义
装出来	假装
地沥青	材料 建造 道路 遮盖 部件 头 房屋
三星级	可 场所 旅游 吃 娱乐 住下
大大缺少	欠
喜兴	喜悦
出事	遭受 劫难
牙买加丑橘	水果
幽浮	飞行器 身分值 未定
缸子	用具 放置
上方	位置 上
渴慕	期望
素称	成为 称作
屠宰	场所 杀害 农 牲畜
拟稿	编辑 语文
前兆	信息
有人声称	功能词
通电话	交流 用具 交流 距离值 长
轮子	部件 腿 车
繁体	文字 中国 背令
美誉	名声 群体 人 荣
碳精	化学物
上身	衣物 穿戴 部件 身 人
上身	部件 身 上 半 人
纬线	标志 大地 线
纬线	部件 络 衣物 用具
灵性	智慧 动物
孓	文字 中国
人不可以貌相	难 裁定 外观 人
军体	事务 锻炼 军 体育
旝	用具 装饰
卫生带	用具 与女性相关 擦拭
兄	词语 称作 人 同辈 成年 男
兄	人 家庭 同辈 直系 男
痛哭	哭泣
咬定	说 坚决
可编程	能 编辑
偷生	活着 辱
凄风冷雨	劫难
我们的	人 我 众
绝育	禁止 生殖
枪身	部件 身 武器 军 射击
不明飞行物	飞行器 身分值 未定
度过	度过
具有抵抗力	能 反抗
面筋	食品
承接	使继续
承接	约定 承担
凹凸	崎岖
左宗棠	人 职位 中国 政 专 官 过去
笔记簿	簿册
撒谎	欺骗
呐	功能词 语助
致使	导致
网路游戏	事情 消闲 因特网 电脑 信息
卷	名量 书刊
卷	折弯
卷	文书
卷	文书 考试 答
卷	从事
卷	部件 书刊 表演物
卷	拾起
卷	书刊
卷	物形
法语化	变性态 英国
问诊	诊察 医 问
匹兹堡	地方 市 美国 专
据推测	功能词
猡	文字 中国
开赛	开始 比赛 体育
等压线	标志 天象 线
论难	辩论
丰韵	风度 人 女 雅
凌压	损害
狭路相逢	会面
老龄问题	现象 年龄 人 老年
腰围	尺寸 部件 部件 身 动物
腰围	尺寸 部件 部件 身 人
腰围	材料 线 拴连
绝无仅有	仅
存活机会	可能 活着 遭受 病态 劫难
花红	水果
花红	酬金 奖励
花红	物质 赠 祝贺
家奴	人 职位 照料 家庭
有关各国	地方 国家 政 相关
听觉	感受 听
标准麦加利银行	场所 英国 金融 专 留存 货币 取回 货币 借入 货币
稳定增长	增多 稳固
行使权力	得到 政 势力 管理 地方 国家 政
何事	功能词 疑问
宠	爱惜 放纵
拜菩萨	致敬 拟人 佛教 宗教
疙瘩汤	食品 烹调
竹子	树
攫取	抢
急公好义	慷
富农分子	人 农 富
引用	引用
引用	推荐
二板	场所 证券 买 票证 卖 票证
门静脉	部件 络 部件 脏 动物 循环
南洋杉	树
会所	场所
雷鸣	坏天 发声 雷
雷鸣	高声
咂摸	思考 深奥
雷害	劫难 雷
纪	规矩
纪	姓
公民责任	责任 人 地方 国家 政
到期	到期
各种各样	多种
狗仗人势	利用 势力 损害
炸鱼条	食品 烹调
平足	部件 脚 动物 病态
光学	知识 光
感性认识	知识 精神
文昌鱼	鱼
人口学	知识 人
不怀	心怀 否
华而不实的东西	无生物 空洞
航空医学	知识 飞 飞行器 事情 医治 医
航空医学	知识 事情 医治 医
溪水	水域 线
怔	害怕
含硼	特性值 化学物
天际	位置 大地 空域
货	人工物 商业
货	人工物 运送
化痰	医治 使动 吐出 排泄物
痴情	喜欢 不讲理
痴情	情感 喜欢 不讲理
噻吡二胺	药物
瞎咧咧	瞎说
串谋	计划 事情 有罪 共同
主和	拥护 境况 群体 宁
重型坦克	武器 军 车
调燮	调解
裨	利 状况 实体 事件
裨	次
磋切	商讨
彻查	调查 详
拿不动	拿 没能力
有着	有
赠阅	赠 书刊
浑水	水 包含 土石 软 涝
抑或	功能词
正庄	合格
辕	部件 车
血糊糊	外观值 存在 部件 体液 红 动物
能量守恒定律	知识 物理
日式	样式值 与特定国家相关 日本
日式	与特定国家相关 日本 样式
垂涎	期望 很
垂涎	流 动趋 外 部件 体液 部件 脏 动物 消化
泪珠	部件 体液 动物
诺曼底	地方 法国 专
旱地雪橇	事情 锻炼 体育
公有制	制度 权利 有 共
盹	睡 短时间
追杀	追赶 杀害
湿疹	疾病 部件 皮 动物
吞掉	埋入
行善人	人 善待
预警机	武器 军 飞行器
闹眼睛	病态 部件 眼 动物
逻	文字 中国
石灰石	材料 建造
附件炎	疾病 发炎
负责任地	细心
不饱和化合物	化学物
撒手归西	死
比萨饼	食品
酒渣病	疾病
左前卫	人 足球 锻炼
英亩	单位 英国 面积
连发	射击 武器
成双作对	结婚 人 家庭 女 配偶 人 家庭 男 配偶
孤岛	陆地 包围 水域
穿坏	损害 穿戴
就职典礼	事情 担任 职位 官
诸城	地方 市 中国 专
旋乾转坤	改变 强 状况
叛逆行为	事情 背叛
赢得总统大选	获胜 选拔 人 职位 元首
鼠标垫	配件 电脑
霍夫	地方 市 德国 专
澳大利亚人	人 澳大利亚
接种材料	材料 医治 医 阻止 疾病
空隙	位置
空隙	时间 闲
荙	文字 中国
猜着	猜测 达成
四处	位置 全面
负责	细心
负责	管理
入肚	咽下
梁丘	姓
补充	能 充实
补充	充实
补充	充实 相互
特异	最佳
特异	特别
一整夜	时间 夜 全面
蛋清	部件 部件 胚 动物
这下子	事情 行动 特定
渔父	人 农 老年 捉住 鱼
龟甲	部件 骨 鱼
柔顺	柔
追加	补做 增加
窃窃私语	说 低声
救民	救助 人 普通 众
残疾人	人 残疾
谱写	编辑
挪威海	水域 专 面
磁学家	人 有 知识 物理
下脚	废物
成个儿	成为 成形
花鼓戏	表演物
议长	人 职位 美国 政 官 管理 机构 政 形成 律法
议长	人 职位 政 官 管理 机构 政 形成 律法
全盛时期	时间 兴
连篇	多
连篇	全面
大发慈悲	表示 情感 仁
舞台	设施 艺 表演
每年	频度值 时间 年 单
崩积层	部件 陆地
支援系统	软件
瘸子	人 残疾 部件 腿 动物 走
倭	地方 国家 亚洲 政 专
天琴座	天体
草垛	花草
南竹	树
人大常委会	部件 机构 中国 政 专 形成 律法
劣中之劣	劣质 最
火冒三丈	示怒
是凡	全
加勒比海	水域 专 面
围坐	坐蹲
别是	功能词
不抵抗主义者	人 相信 思想 反抗 否 军
滑雪杖	运动器材 滑
杖	用具 打
杖	用具 帮助 走
学院	场所 教育 高等 学习 教
外场	设施 棒球 比赛 锻炼
食盒	用具 放置 食品
妃色	红 淡
编年	样式值 语文
耻骂	谴责
上访人员	人 控告
授权书	文书 命令
衰亡	灭亡
网格	因特网 电脑 信息
海底	部件 根 水域
传略	语文 时间 终生 扼要 记录
未然	成为 否 真
34	基数
床单	用具 遮盖 睡
三班倒	事务 次序 从事
无以复加	极
航道	道路 驶 船
弯刀	用具 切削 破开
打瓜	水果
疏远的女友	人 疏远 女 爱恋
面包箱	用具 放置 食品
时鲜	适宜 时间
腕骨	部件 骨 动物
以便	功能词
切除	切削 医 医治
白开水	水 喝
体格检查	事情 查 健康 医
眼界	幅度 部件 眼 动物 看
以物易物	交换 商业 人工物
洋行	场所 商业 过去 建立 人 外国 卖
违法者	人 违背 律法
开张	起始 商业
开张	开始 商业
麦克风	用具 传播 声
连长	人 军队 官 争斗 军
蕃衍	生殖
花木	植物
追名逐利	谋取 名声 钱财
缩短	缩小 短
缩短	缩小 短时间
脚趾	部件 部件 脚 动物
防护物	武器 军 防守
达	总计
达	通往
达	到达
达	表示
达	实现
达	伟
大年	时间 节 祝贺
大年	时间 年
大年	时间 年 适宜 庄稼
同心协力	合作 亲密
修筑	建造
泗水	地方 市 印度尼西亚 专
瓒	材料 珍宝 杂
瓒	用具 材料 珍宝 捞起
河口	部件 口 水域
书套	用具 保护 书刊
士气	意志 军队 人
连根拔	消除 部件 根 植物
邻县	地方 县 靠近 相互
鼻衄	现象 出血 医 出现 疾病
夜不归宿	返回 否 时间 夜
拗	折断
拗	难
